Scope,Ticker,SnapshotTimeBucket,FeatureSet,Model,Rows,UsedFeatureCount,CloseMAEPct,HighMAEPct,LowMAEPct,RangeMAEPct,CloseDirHitPct,SelectionScore
VNM,VNM,AM_EARLY,price_volume_core,ridge,227,81.0,0.6505195247399153,0.6408768420898624,0.543478551142845,0.9225434751248701,49.77973568281938,0.5704723114501095
VNM,VNM,AM_LATE,price_volume_core,hist_gbm,295,81.0,0.5270162292831906,0.40280565261607976,0.4155610440821665,0.5436356719428362,53.559322033898304,0.30017974782364154
VNM,VNM,PM_EARLY,price_volume_core,hist_gbm,227,81.0,0.4617978686143492,0.3512594173691169,0.30479723955174814,0.4017771785500056,51.98237885462555,0.209512741975459
VNM,VNM,PM_LATE,range_micro_volume,ridge,226,67.0,0.43508903491692863,0.31594184592722463,0.27273870861230337,0.3895352706441319,35.39823008849557,0.4713795837409913
VPB,VPB,AM_EARLY,price_volume_core,ridge,227,81.0,0.9965875187636861,0.7691766772294795,0.6652200014241711,0.7721551653818083,50.66079295154186,1.1423552429828758
VPB,VPB,AM_LATE,price_volume_core,hist_gbm,297,81.0,0.8686838885216925,0.6451914171150667,0.5507816061244507,0.5740934802769095,57.57575757575758,0.9243264795411376
VPB,VPB,PM_EARLY,price_volume_core,hist_gbm,228,81.0,0.7276082759491792,0.5704796003702675,0.3671424773500383,0.46009181474041216,54.824561403508774,0.664460703853945
VPB,VPB,PM_LATE,range_micro_volume,ridge,227,67.0,0.5577844290144407,0.41219334491739834,0.30954208383454174,0.4007785180809143,39.647577092511014,0.6213672299214812
VPL,VPL,AM_EARLY,price_volume_core,ridge,185,81.0,1.6805998847631771,1.1615625438003658,1.0351943141750173,0.991134772080471,44.86486486486487,2.5440814381152297
VPL,VPL,AM_LATE,price_volume_core,hist_gbm,241,81.0,1.4582327561894073,1.0418771531313997,0.8696356446483964,0.9738729400504337,49.79253112033195,2.1615435023695126
VPL,VPL,PM_EARLY,price_volume_core,hist_gbm,203,81.0,1.3280851326825305,0.9616580856993981,0.785043278121148,0.977494483531494,54.679802955665025,1.9546337907648796
VPL,VPL,PM_LATE,range_micro_volume,ridge,205,67.0,1.2002703470050577,0.7809787840269752,0.6626218276344666,0.8896162059242967,54.63414634146342,1.591223443172578
VRE,VRE,AM_EARLY,price_volume_core,ridge,226,81.0,1.9259350492882534,1.278487964379838,1.1122125844685773,1.0838522736920337,49.557522123893804,2.7943219966457327
VRE,VRE,AM_LATE,price_volume_core,hist_gbm,301,81.0,1.4784472047928823,0.9832215220150147,0.9388049711649961,0.7857737538270168,52.159468438538205,1.9822884711584674
VRE,VRE,PM_EARLY,price_volume_core,hist_gbm,227,81.0,1.2604235803935862,0.8561024884160229,0.7178837485043117,0.7875853616159955,48.01762114537445,1.7356270638478
VRE,VRE,PM_LATE,range_micro_volume,ridge,228,67.0,0.917229294585662,0.6301989337813863,0.607039935758761,0.7355829454285402,40.78947368421053,1.1863151598589643
